Producto;Usuario;Día;Turno;Avance_turno;Abosorción;TargetC
TIPO K;Practicante;jueves;Mañana;Término;0.486;Sobrepeso
TIPO K;Practicante;jueves;Mañana;Término;0.486;Sobrepeso
TIPO K;Practicante;jueves;Mañana;Término;0.486;Sobrepeso
TIPO K;Practicante;jueves;Mañana;Término;0.486;Sobrepeso
TIPO K;MauricioM;jueves;Mañana;Término;0.486;Sobrepeso
TIPO K;MauricioM;jueves;Tarde;Inicio;0.482;Sobrepeso
TIPO K;BernardoA;jueves;Tarde;Inicio;0.482;Sobrepeso
TIPO K;BernardoA;jueves;Tarde;Inicio;0.482;Sobrepeso
TIPO K;BernardoA;jueves;Tarde;Inicio;0.482;Sobrepeso
TIPO K;BernardoA;jueves;Tarde;Inicio;0.482;Sobrepeso
TIPO K;BernardoA;jueves;Tarde;Inicio;0.482;Sobrepeso
TIPO K;BernardoA;jueves;Tarde;Inicio;0.482;Sobrepeso
TIPO K;BernardoA;jueves;Tarde;Inicio;0.482;Sobrepeso
TIPO K;BernardoA;jueves;Tarde;Inicio;0.482;Sobrepeso
TIPO K;BernardoA;jueves;Tarde;Inicio;0.482;Sobrepeso
TIPO K;BernardoA;jueves;Tarde;Inicio;0.482;Sobrepeso
TIPO K;BernardoA;jueves;Tarde;Inicio;0.482;Sobrepeso
TIPO K;BernardoA;jueves;Tarde;Inicio;0.482;Sobrepeso
TIPO K;BernardoA;jueves;Tarde;Inicio;0.482;Sobrepeso
TIPO K;BernardoA;jueves;Tarde;Inicio;0.482;Sobrepeso
TIPO K;BernardoA;jueves;Tarde;Inicio;0.482;Sobrepeso
TIPO K;BernardoA;jueves;Tarde;Inicio;0.482;Sobrepeso
TIPO K;BernardoA;jueves;Tarde;Inicio;0.482;Sobrepeso
TIPO K;BernardoA;jueves;Tarde;Inicio;0.482;Sobrepeso
TIPO K;BernardoA;jueves;Tarde;Medio;0.486;Sobrepeso
TIPO K;BernardoA;jueves;Tarde;Medio;0.486;Sobrepeso
TIPO K;BernardoA;jueves;Tarde;Medio;0.486;Sobrepeso
TIPO K;BernardoA;jueves;Tarde;Medio;0.486;Sobrepeso
TIPO K;BernardoA;jueves;Tarde;Término;0.483;Sobrepeso
TIPO K;BernardoA;jueves;Tarde;Término;0.483;Sobrepeso
TIPO K;BernardoA;jueves;Tarde;Término;0.483;Sobrepeso
TIPO K;BernardoA;jueves;Tarde;Término;0.483;Sobrepeso
TIPO K;BernardoA;jueves;Tarde;Término;0.483;Sobrepeso
TIPO K;BernardoA;jueves;Tarde;Término;0.483;Sobrepeso
TIPO K;DivisorA;viernes;Noche;Inicio;0.485;Sobrepeso
TIPO K;DivisorA;viernes;Noche;Medio;0.489;Sobrepeso
TIPO K;DivisorA;viernes;Noche;Medio;0.489;Sobrepeso
TIPO K;DivisorA;viernes;Noche;Medio;0.489;Sobrepeso
TIPO K;DivisorA;viernes;Noche;Medio;0.489;Sobrepeso
TIPO K;DivisorA;viernes;Noche;Medio;0.489;Sobrepeso
TIPO K;DivisorA;viernes;Noche;Medio;0.489;Sobrepeso
TIPO K;DivisorA;viernes;Noche;Medio;0.489;Sobrepeso
TIPO K;DivisorA;viernes;Noche;Medio;0.489;Sobrepeso
TIPO K;DivisorA;viernes;Noche;Término;0.487;Sobrepeso
TIPO K;DivisorA;viernes;Noche;Término;0.487;Sobrepeso
TIPO K;DivisorA;viernes;Noche;Término;0.487;Sobrepeso
TIPO K;DivisorA;viernes;Noche;Término;0.487;Sobrepeso
TIPO K;DivisorA;viernes;Mañana;Inicio;0.487;Sobrepeso
TIPO K;DivisorA;viernes;Mañana;Inicio;0.487;Sobrepeso
TIPO K;DivisorA;viernes;Mañana;Inicio;0.487;Sobrepeso
TIPO K;DivisorA;viernes;Mañana;Inicio;0.487;Sobrepeso
TIPO K;DivisorA;viernes;Mañana;Inicio;0.487;Sobrepeso
TIPO K;DivisorA;viernes;Mañana;Inicio;0.487;Sobrepeso
TIPO K;DivisorA;viernes;Mañana;Inicio;0.487;Sobrepeso
TIPO K;DivisorA;viernes;Mañana;Inicio;0.487;Sobrepeso
TIPO K;DivisorA;viernes;Mañana;Inicio;0.487;Sobrepeso
TIPO K;BernardoA;martes;Mañana;Inicio;0.489;Sobrepeso
TIPO K;BernardoA;martes;Mañana;Inicio;0.489;Sobrepeso
TIPO K;BernardoA;martes;Mañana;Inicio;0.489;Sobrepeso
TIPO K;BernardoA;martes;Mañana;Inicio;0.489;Sobrepeso
TIPO K;BernardoA;martes;Mañana;Inicio;0.489;Sobrepeso
TIPO K;BernardoA;martes;Mañana;Inicio;0.489;Sobrepeso
TIPO K;BernardoA;martes;Mañana;Inicio;0.489;Sobrepeso
TIPO K;BernardoA;martes;Mañana;Inicio;0.489;Sobrepeso
TIPO K;BernardoA;martes;Mañana;Inicio;0.489;Sobrepeso
TIPO K;BernardoA;martes;Mañana;Inicio;0.489;Sobrepeso
TIPO K;BernardoA;martes;Mañana;Inicio;0.489;Sobrepeso
TIPO K;BernardoA;martes;Mañana;Inicio;0.489;Sobrepeso
TIPO K;BernardoA;martes;Mañana;Inicio;0.489;Sobrepeso
TIPO K;BernardoA;martes;Mañana;Inicio;0.489;Sobrepeso
TIPO K;BernardoA;martes;Mañana;Inicio;0.489;Sobrepeso
TIPO K;BernardoA;martes;Mañana;Inicio;0.489;Sobrepeso
TIPO K;BernardoA;martes;Mañana;Inicio;0.489;Sobrepeso
TIPO K;Practicante;martes;Mañana;Inicio;0.489;Sobrepeso
TIPO K;Practicante;martes;Mañana;Inicio;0.489;Sobrepeso
TIPO K;Practicante;martes;Mañana;Inicio;0.489;Sobrepeso
TIPO K;Practicante;martes;Mañana;Inicio;0.489;Sobrepeso
TIPO K;Practicante;martes;Mañana;Inicio;0.489;Sobrepeso
TIPO K;Practicante;martes;Mañana;Inicio;0.489;Sobrepeso
TIPO K;Practicante;martes;Mañana;Inicio;0.489;Sobrepeso
TIPO K;Practicante;martes;Mañana;Inicio;0.489;Sobrepeso
TIPO K;Practicante;martes;Mañana;Inicio;0.489;Sobrepeso
TIPO K;BernardoA;martes;Mañana;Inicio;0.489;Sobrepeso
TIPO K;BernardoA;martes;Mañana;Medio;0.487;Sobrepeso
TIPO K;BernardoA;martes;Mañana;Medio;0.487;Sobrepeso
TIPO K;BernardoA;martes;Mañana;Medio;0.487;Sobrepeso
TIPO K;BernardoA;martes;Mañana;Medio;0.487;Sobrepeso
TIPO K;BernardoA;martes;Mañana;Medio;0.487;Sobrepeso
TIPO K;BernardoA;martes;Mañana;Medio;0.487;Sobrepeso
TIPO K;BernardoA;martes;Mañana;Medio;0.487;Sobrepeso
TIPO K;BernardoA;martes;Mañana;Medio;0.487;Sobrepeso
TIPO K;BernardoA;martes;Mañana;Medio;0.487;Sobrepeso
TIPO K;BernardoA;martes;Mañana;Medio;0.487;Sobrepeso
TIPO K;BernardoA;martes;Mañana;Medio;0.487;Sobrepeso
TIPO K;BernardoA;martes;Mañana;Medio;0.487;Sobrepeso
TIPO K;BernardoA;martes;Mañana;Medio;0.487;Sobrepeso
