Producto;Día;User Name;Value;Turno;Avance_turno
TIPO K;jueves;MauricioM;88,6;Mañana;Inicio
TIPO K;jueves;MauricioM;89,6;Mañana;Inicio
TIPO K;jueves;MauricioM;91;Mañana;Inicio
TIPO K;jueves;Practicante;86,4;Mañana;Medio
TIPO K;jueves;Practicante;92,4;Mañana;Medio
TIPO K;jueves;Practicante;91,8;Mañana;Medio
TIPO K;jueves;Practicante;85,4;Mañana;Medio
TIPO K;jueves;Practicante;92,8;Mañana;Medio
TIPO K;jueves;Practicante;91,8;Mañana;Medio
TIPO K;jueves;Practicante;86;Mañana;Medio
TIPO K;jueves;Practicante;90;Mañana;Medio
TIPO K;jueves;Practicante;90,6;Mañana;Medio
TIPO K;jueves;Practicante;87;Mañana;Medio
TIPO K;jueves;Practicante;91,4;Mañana;Medio
TIPO K;jueves;Practicante;90,6;Mañana;Medio
TIPO K;jueves;Practicante;93,2;Mañana;Medio
TIPO K;jueves;Practicante;89,2;Mañana;Medio
TIPO K;jueves;Practicante;89,6;Mañana;Medio
TIPO K;jueves;Practicante;85,4;Mañana;Medio
TIPO K;jueves;MauricioM;88,8;Mañana;Medio
TIPO K;jueves;Practicante;89,4;Mañana;Término
TIPO K;jueves;Practicante;92,4;Mañana;Término
TIPO K;jueves;Practicante;89,4;Mañana;Término
TIPO K;jueves;Practicante;90,4;Mañana;Término
TIPO K;jueves;Practicante;93,6;Mañana;Término
TIPO K;jueves;Practicante;88;Mañana;Término
TIPO K;jueves;Practicante;89,8;Mañana;Término
TIPO K;jueves;Practicante;86,2;Mañana;Término
TIPO K;jueves;Practicante;86;Mañana;Término
TIPO K;jueves;Practicante;91,6;Mañana;Término
TIPO K;jueves;Practicante;85,2;Mañana;Término
TIPO K;jueves;MauricioM;88,6;Mañana;Término
TIPO K;jueves;MauricioM;85,8;Tarde;Inicio
TIPO K;jueves;BernardoA;86,4;Tarde;Inicio
TIPO K;jueves;BernardoA;88,2;Tarde;Inicio
TIPO K;jueves;BernardoA;89,8;Tarde;Inicio
TIPO K;jueves;BernardoA;87,2;Tarde;Inicio
TIPO K;jueves;BernardoA;91,4;Tarde;Inicio
TIPO K;jueves;BernardoA;92,4;Tarde;Inicio
TIPO K;jueves;BernardoA;91;Tarde;Inicio
TIPO K;jueves;BernardoA;87,4;Tarde;Inicio
TIPO K;jueves;BernardoA;88,6;Tarde;Inicio
TIPO K;jueves;BernardoA;88,6;Tarde;Inicio
TIPO K;jueves;BernardoA;90;Tarde;Inicio
TIPO K;jueves;BernardoA;88,6;Tarde;Inicio
TIPO K;jueves;BernardoA;88,4;Tarde;Inicio
TIPO K;jueves;BernardoA;90;Tarde;Inicio
TIPO K;jueves;BernardoA;88,6;Tarde;Inicio
TIPO K;jueves;BernardoA;89,8;Tarde;Inicio
TIPO K;jueves;BernardoA;89,2;Tarde;Inicio
TIPO K;jueves;BernardoA;90,8;Tarde;Inicio
TIPO K;jueves;BernardoA;86,8;Tarde;Medio
TIPO K;jueves;BernardoA;92,2;Tarde;Medio
TIPO K;jueves;BernardoA;89,6;Tarde;Medio
TIPO K;jueves;BernardoA;89,4;Tarde;Medio
TIPO K;jueves;BernardoA;94,8;Tarde;Término
TIPO K;jueves;BernardoA;84,6;Tarde;Término
TIPO K;jueves;BernardoA;89,8;Tarde;Término
TIPO K;jueves;BernardoA;87;Tarde;Término
TIPO K;jueves;BernardoA;82,4;Tarde;Término
TIPO K;jueves;BernardoA;88,8;Tarde;Término
TIPO K;viernes;DivisorA;91,8;Noche;Inicio
TIPO K;viernes;DivisorA;88,6;Noche;Medio
TIPO K;viernes;DivisorA;87,2;Noche;Medio
TIPO K;viernes;DivisorA;88,6;Noche;Medio
TIPO K;viernes;DivisorA;88,8;Noche;Medio
TIPO K;viernes;DivisorA;90,4;Noche;Medio
TIPO K;viernes;DivisorA;88,2;Noche;Medio
TIPO K;viernes;DivisorA;88,6;Noche;Medio
TIPO K;viernes;DivisorA;88,8;Noche;Medio
TIPO K;viernes;DivisorA;90,8;Noche;Término
TIPO K;viernes;DivisorA;90,2;Noche;Término
TIPO K;viernes;DivisorA;87,4;Noche;Término
TIPO K;viernes;DivisorA;87,6;Noche;Término
TIPO K;viernes;DivisorA;92,4;Mañana;Inicio
TIPO K;viernes;DivisorA;87,2;Mañana;Inicio
TIPO K;viernes;DivisorA;89;Mañana;Inicio
TIPO K;viernes;DivisorA;89;Mañana;Inicio
TIPO K;viernes;DivisorA;89;Mañana;Inicio
TIPO K;viernes;DivisorA;90,8;Mañana;Inicio
TIPO K;viernes;DivisorA;92,6;Mañana;Inicio
TIPO K;viernes;DivisorA;92,6;Mañana;Inicio
TIPO K;viernes;DivisorA;93,2;Mañana;Inicio
TIPO K;martes;BernardoA;95;Mañana;Inicio
TIPO K;martes;BernardoA;92,8;Mañana;Inicio
TIPO K;martes;BernardoA;90,2;Mañana;Inicio
TIPO K;martes;BernardoA;91;Mañana;Inicio
TIPO K;martes;BernardoA;88,6;Mañana;Inicio
TIPO K;martes;BernardoA;87,2;Mañana;Inicio
TIPO K;martes;BernardoA;91,2;Mañana;Inicio
TIPO K;martes;BernardoA;87,2;Mañana;Inicio
TIPO K;martes;BernardoA;87,4;Mañana;Inicio
TIPO K;martes;BernardoA;90,4;Mañana;Inicio
TIPO K;martes;BernardoA;87,4;Mañana;Inicio
TIPO K;martes;BernardoA;90,8;Mañana;Inicio
TIPO K;martes;BernardoA;87,6;Mañana;Inicio
TIPO K;martes;BernardoA;90,8;Mañana;Inicio
TIPO K;martes;BernardoA;89,2;Mañana;Inicio
TIPO K;martes;BernardoA;88,8;Mañana;Inicio
TIPO K;martes;BernardoA;90,8;Mañana;Inicio
TIPO K;martes;Practicante;89,2;Mañana;Inicio
TIPO K;martes;Practicante;91,4;Mañana;Inicio
TIPO K;martes;Practicante;92,6;Mañana;Inicio
TIPO K;martes;Practicante;89,2;Mañana;Inicio
TIPO K;martes;Practicante;91,4;Mañana;Inicio
TIPO K;martes;Practicante;90;Mañana;Inicio
TIPO K;martes;Practicante;95;Mañana;Inicio
TIPO K;martes;Practicante;92,2;Mañana;Inicio
TIPO K;martes;Practicante;90,6;Mañana;Inicio
TIPO K;martes;BernardoA;91,6;Mañana;Inicio
TIPO K;martes;BernardoA;93,2;Mañana;Medio
TIPO K;martes;BernardoA;88,8;Mañana;Medio
TIPO K;martes;BernardoA;91,4;Mañana;Medio
TIPO K;martes;BernardoA;88,4;Mañana;Medio
TIPO K;martes;BernardoA;89,2;Mañana;Medio
TIPO K;martes;BernardoA;87,4;Mañana;Medio
TIPO K;martes;BernardoA;89;Mañana;Medio
TIPO K;martes;BernardoA;87,2;Mañana;Medio
TIPO K;martes;BernardoA;89,8;Mañana;Medio
TIPO K;martes;BernardoA;87,8;Mañana;Medio
TIPO K;martes;BernardoA;90;Mañana;Medio
TIPO K;martes;BernardoA;88,4;Mañana;Medio
TIPO K;martes;BernardoA;89,8;Mañana;Medio
TIPO K;martes;BernardoA;88;Mañana;Medio
TIPO K;martes;BernardoA;86;Mañana;Medio
TIPO K;martes;BernardoA;87;Mañana;Medio
TIPO K;martes;BernardoA;93;Mañana;Término
TIPO K;martes;BernardoA;94,4;Mañana;Término
TIPO K;martes;BernardoA;92,4;Mañana;Término
TIPO K;martes;BernardoA;93,6;Mañana;Término
TIPO K;martes;BernardoA;90,6;Mañana;Término
TIPO K;martes;BernardoA;87;Mañana;Término
TIPO K;martes;BernardoA;88;Mañana;Término
TIPO K;martes;BernardoA;89,8;Mañana;Término
TIPO K;martes;BernardoA;87,2;Mañana;Término
TIPO K;martes;BernardoA;90,4;Mañana;Término
TIPO K;martes;BernardoA;92,8;Mañana;Término
TIPO K;martes;BernardoA;89,8;Mañana;Término
TIPO K;martes;Practicante;91;Tarde;Inicio
TIPO K;martes;Practicante;89,2;Tarde;Inicio
TIPO K;martes;Practicante;91,2;Tarde;Inicio
TIPO K;martes;Practicante;88,8;Tarde;Inicio
